anio,con_arma,con_moto,total,pct_arma,pct_moto
2020,7309,3761,86175,8.481578183928054,4.364374818682912
2021,8478,4624,111962,7.57221200050017,4.129972669298512
2022,8666,5064,140918,6.149675697923615,3.593579244667111
2023,9253,4447,155897,5.935329095492536,2.852524423176841
2024,8445,5758,158838,5.316737808333018,3.6250771226029035
